Category,Description
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,phy therapist Physical Therapists Hospitals
3,"brand leader Marketing manager Professional, Scientific, and Technical Services"
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,senior copywriter Copy Writers Administrative and Support Services
1,staff registered nurse prn Registered Nurse Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,senior system technician Network and Computer Systems Administrators Broadcasting (except Internet)
2,"inside territory account manag Sales manager Professional, Scientific, and Technical Services"
1,"pre ord delivery driver trac trail Heavy and Tractor-Trailer Truck Drivers Merchant Wholesalers, Nondurable Goods "
1,network services manager Computer and Information Systems manager Broadcasting (except Internet)
1,clinic management Medical and Health Services manager Administration of Human Resource Programs 
1,pharmacist staff Pharmacists Administration of Human Resource Programs 
3,"business development manager Marketing manager Professional, Scientific, and Technical Services"
1,senior system technician Network and Computer Systems Administrators Broadcasting (except Internet)
1,pharmacy technician Pharmacy Technicians Hospitals
1,registered nurse surgery Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,dealer designer Gaming Dealers Furniture and Related Product Manufacturing
1,"media planner Media and Communication Workers, All Other Professional, Scientific, and Technical Services"
2,"route delivery relief person Driver/Sales Workers Merchant Wholesalers, Nondurable Goods "
3,brand manager Marketing manager Administrative and Support Services
1,"blowmold operator Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic Merchant Wholesalers, Nondurable Goods "
1,speech therapist Speech-Language Pathologists Hospitals
2,"national sales director Sales manager Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,clinical manager Medical and Health Services manager Hospitals
1,nursing supervisor part Registered Nurse Hospitals
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,phy therapist Physical Therapists Administration of Human Resource Programs 
1,staff registered nurse prn Registered Nurse Hospitals
1,"supervisor technical service First-Line Supervisors of Mechanics, Installers, and Repairers Broadcasting (except Internet)"
2,"retail sales representative Retail Salespersons Professional, Scientific, and Technical Services"
1,phy therapist Physical Therapists Hospitals
1,housing analyst Financial Analysts Broadcasting (except Internet)
1,medical laboratory technician Medical and Clinical Laboratory Technicians Administration of Human Resource Programs 
1,respiratory therapist registered respiratory therapist Respiratory Therapists Administration of Human Resource Programs 
1,respiratory therapist certified respiratory therapist Respiratory Therapists Hospitals
2,"connections associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,care nurse iii Registered Nurse Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"senior finance manager Financial manager, Branch or Department Beverage and Tobacco Product Manufacturing"
1,clinic ancillary lab xray Radiologic Technologists Administration of Human Resource Programs 
1,"yard driver cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
1,clinic mid level np physician assistant midwi Physician Assistants Administration of Human Resource Programs 
1,clinic rad technician Radiologic Technicians Administration of Human Resource Programs 
1,"analyst optimization Market Research Analysts and Marketing Specialists Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,registered nurse Registered Nurse Administration of Human Resource Programs 
1,"assistant account manager Secretaries and Administrative Assistants, Except Legal, Medical, and Executive Administrative and Support Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,registered nurse Registered Nurse Administration of Human Resource Programs 
2,"associate Retail Salespersons Professional, Scientific, and Technical Services"
1,"computer numerical control machine operator Computer-Controlled Machine Tool Operators, Metal and Plastic Furniture and Related Product Manufacturing"
1,audio visual technical Audio and Video Equipment Technicians Administrative and Support Services
1,social wrker resource management Healthcare Social Workers Ambulatory Health Care Services
2,"director national accounts ii Sales manager Merchant Wholesalers, Nondurable Goods "
1,change control analyst Quality Control Analysts Broadcasting (except Internet)
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
1,manufacturing engineering manager Architectural and Engineering manager Furniture and Related Product Manufacturing
1,emergency room technician Emergency Medical Technicians and Paramedics Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"account director Sales manager Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"executive assistant Executive Secretaries and Executive Administrative Assistants Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,physician Family and General Practitioners Administration of Human Resource Programs 
2,"senior associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,"senior utility operator cooler Cooling and Freezing Equipment Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,network specialist Computer Network Support Specialists Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,business development manager Marketing manager Furniture and Related Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,mental health technician Psychiatric Technicians Administration of Human Resource Programs 
1,phy therapist Physical Therapists Hospitals
1,pharmacy technician Pharmacy Technicians Hospitals
1,network engineer iii Network and Computer Systems Administrators Broadcasting (except Internet)
1,director field business planning Marketing manager Broadcasting (except Internet)
1,pharmacist staff Pharmacists Hospitals
1,registered nurse special program Registered Nurse Administration of Human Resource Programs 
2,sales engineer ii cb Sales Engineers Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"driver Heavy and Tractor-Trailer Truck Drivers Merchant Wholesalers, Nondurable Goods "
1,"loader stager Laborers and Freight, Stock, and Material Movers, Hand Furniture and Related Product Manufacturing"
1,"maintenance group leader First-Line Supervisors of Mechanics, Installers, and Repairers Furniture and Related Product Manufacturing"
1,nurse technician Psychiatric Technicians Administration of Human Resource Programs 
1,plant superintendent General and Operations manager Furniture and Related Product Manufacturing
1,temporary art director Art Directors Administrative and Support Services
1,"designer Graphic Designers Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,physician Family and General Practitioners Ambulatory Health Care Services
1,construction technician senior Civil Engineering Technicians Broadcasting (except Internet)
2,territory manager ii Sales manager Beverage and Tobacco Product Manufacturing
1,physician Family and General Practitioners Hospitals
1,"alb division manager General and Operations manager Merchant Wholesalers, Nondurable Goods "
3,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"blowmold operator Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic Merchant Wholesalers, Nondurable Goods "
1,catheterization lab technical Cardiovascular Technologists and Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"director Chief Executives Professional, Scientific, and Technical Services"
3,"account manager Advertising and Promotions manager Professional, Scientific, and Technical Services"
1,"driver yard jockey Heavy and Tractor-Trailer Truck Drivers Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,clinic registered nurse Registered Nurse Administration of Human Resource Programs 
1,"veterinary technician Veterinary Technologists and Technicians Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,registered nurse resource management Registered Nurse Hospitals
1,clinic ancillary lab xray Radiologic Technologists Ambulatory Health Care Services
1,"warehouse supervisor First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators Merchant Wholesalers, Nondurable Goods "
1,"senior utility operator cooler Cooling and Freezing Equipment Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,"filler operator Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,"sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Administrative and Support Services"
2,dealer territory manager Sales manager Furniture and Related Product Manufacturing
1,"negotiator Business Operations Specialists, All Other Administrative and Support Services"
1,physician Family and General Practitioners Administration of Human Resource Programs 
1,respiratory therapist lead Respiratory Therapists Ambulatory Health Care Services
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Administrative and Support Services"
1,"negotiator local activation Business Operations Specialists, All Other Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,pharmacy technician Pharmacy Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"project director manager, All Other Professional, Scientific, and Technical Services"
1,charge nurse Registered Nurse Administration of Human Resource Programs 
1,"filler operator Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
1,operating room technician cert licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,ct technician Radiologic Technicians Administration of Human Resource Programs 
1,registered nurse speciality Registered Nurse Hospitals
1,"order assembly pick load coolr Stock Clerks- Stockroom, Warehouse, or Storage Yard Merchant Wholesalers, Nondurable Goods "
2,"senior account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,senior system technician Network and Computer Systems Administrators Broadcasting (except Internet)
1,clinic management Medical and Health Services manager Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,registered nurse resource management Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,art director Art Directors Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,mental health technician Psychiatric Technicians Hospitals
1,"transportation supervisor First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators Merchant Wholesalers, Nondurable Goods "
1,phy therapist Physical Therapists Administration of Human Resource Programs 
1,technical operations manager ii Industrial Production manager Broadcasting (except Internet)
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,supervisor manufacturing First-Line Supervisors of Production and Operating Workers Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,certified nursing assistant Nursing Assistants Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,"prepress specialist Prepress Technicians and Workers Professional, Scientific, and Technical Services"
1,medical technologist Medical and Clinical Laboratory Technologists Hospitals
1,senior area manager General and Operations manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,system technician ii Network and Computer Systems Administrators Broadcasting (except Internet)
1,"operations director General and Operations manager Professional, Scientific, and Technical Services"
1,nurse technician Psychiatric Technicians Administration of Human Resource Programs 
1,"designer Graphic Designers Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,"visual inspector Inspectors, Testers, Sorters, Samplers, and Weighers Beverage and Tobacco Product Manufacturing"
1,packing operator Packaging and Filling Machine Operators and Tenders Beverage and Tobacco Product Manufacturing
1,"order assembly pick load coolr Stock Clerks- Stockroom, Warehouse, or Storage Yard Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"operations coordinator Business Operations Specialists, All Other Professional, Scientific, and Technical Services"
2,store associate Retail Salespersons Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,project manager sales operation cb General and Operations manager Broadcasting (except Internet)
1,"continuous improvement manager Quality Control Systems manager Merchant Wholesalers, Nondurable Goods "
1,mkg machinist opr protos Machinists Beverage and Tobacco Product Manufacturing
2,"business relationship manager ii Sales manager Merchant Wholesalers, Nondurable Goods "
1,phlebotomist Phlebotomists Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"activitities coordinat Meeting, Convention, and Event Planners Hospitals"
1,clinic registered nurse Registered Nurse Ambulatory Health Care Services
1,registered nurse Registered Nurse Hospitals
1,"business manager General and Operations manager Religious, Grantmaking, Civic, Professional, and Similar Organizations"
3,"brand ambassador Demonstrators and Product Promoters Professional, Scientific, and Technical Services"
1,"senior project manager manager, All Other Professional, Scientific, and Technical Services"
1,network technician Computer Network Support Specialists Broadcasting (except Internet)
1,pharmacy technician Pharmacy Technicians Administration of Human Resource Programs 
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
1,clinic management Medical and Health Services manager Administration of Human Resource Programs 
1,"loader Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
2,"route sales supervisor First-Line Supervisors of Non-Retail Sales Workers Merchant Wholesalers, Nondurable Goods "
1,manufacturing engineer Manufacturing Engineers Furniture and Related Product Manufacturing
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
1,"temporary art director Art Directors Professional, Scientific, and Technical Services"
1,"lead finance manager Financial manager, Branch or Department Beverage and Tobacco Product Manufacturing"
1,ct technician Radiologic Technicians Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"supervisor technical service First-Line Supervisors of Mechanics, Installers, and Repairers Broadcasting (except Internet)"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,patient care technician certified nurse aide prn Nursing Assistants Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Beverage and Tobacco Product Manufacturing"
3,sales marketing specialist cb Market Research Analysts and Marketing Specialists Broadcasting (except Internet)
2,"route sales supervisor First-Line Supervisors of Non-Retail Sales Workers Merchant Wholesalers, Nondurable Goods "
1,respiratory therapist respiratory care practitioner Respiratory Therapists Administration of Human Resource Programs 
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
3,"brand director Marketing manager Professional, Scientific, and Technical Services"
3,manager marketing Marketing manager Broadcasting (except Internet)
1,respiratory therapist registered respiratory therapist Respiratory Therapists Hospitals
1,physician Family and General Practitioners Hospitals
1,senior system technician Network and Computer Systems Administrators Broadcasting (except Internet)
2,"vice president business development Sales manager Professional, Scientific, and Technical Services"
2,la bbx territory manager Sales manager Administrative and Support Services
1,manager business planning General and Operations manager Broadcasting (except Internet)
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
1,vascular technician Cardiovascular Technologists and Technicians Administration of Human Resource Programs 
2,regional sales manager Sales manager Furniture and Related Product Manufacturing
1,patient care technical Licensed Practical and Licensed Vocational Nurse Administrative and Support Services
1,manager General and Operations manager Administrative and Support Services
1,swivel tilt line Telecommunications Line Installers and Repairers Furniture and Related Product Manufacturing
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
1,forklift operator Industrial Truck and Tractor Operators Food and Beverage Stores 
1,technician Pharmacy Technicians Hospitals
1,medical surg registered nurse Registered Nurse Administration of Human Resource Programs 
1,staff registered nurse prn Registered Nurse Hospitals
2,"video phone sales representative Retail Salespersons Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"yard driver cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
3,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,physical therapist prn Physical Therapists Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,director Chief Executives Administrative and Support Services
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
1,field auditor Auditors Broadcasting (except Internet)
1,charge nurse Registered Nurse Administration of Human Resource Programs 
1,pharmacy technician Pharmacy Technicians Administration of Human Resource Programs 
1,respiratory therapist registered respiratory therapist Respiratory Therapists Administration of Human Resource Programs 
1,vice president associate creative director copy Art Directors Administrative and Support Services
1,registered nurse speciality Registered Nurse Ambulatory Health Care Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager ii Sales manager Beverage and Tobacco Product Manufacturing
1,operating room technician cert licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
1,pharmacist staff Pharmacists Administration of Human Resource Programs 
1,producer director lead Producers and Directors Broadcasting (except Internet)
1,"machine operator ww Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,store associate Retail Salespersons Broadcasting (except Internet)
1,chief financial officer Treasurers and Controllers Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,"account executive Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Administrative and Support Services"
1,"managing director General and Operations manager Professional, Scientific, and Technical Services"
1,distribution support ii Computer User Support Specialists Furniture and Related Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,pharmacy technician Pharmacy Technicians Hospitals
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,emergency medical technician Emergency Medical Technicians and Paramedics Hospitals
1,mental health technician Psychiatric Technicians Administration of Human Resource Programs 
1,registered nurse surgery Registered Nurse Administration of Human Resource Programs 
1,registered nurse Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"alb selector Order Fillers, Wholesale and Retail Sales Merchant Wholesalers, Nondurable Goods "
1,phy therapist Physical Therapists Administration of Human Resource Programs 
1,ct technician Radiologic Technicians Hospitals
1,"loader Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
1,"agency support engineer Environmental Engineers Professional, Scientific, and Technical Services"
1,"cheese maker Food Batchmakers Merchant Wholesalers, Nondurable Goods "
1,"lift operator Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
1,clinic management Medical and Health Services manager Administration of Human Resource Programs 
3,brand manager Marketing manager Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"route sales driver str trail Driver/Sales Workers Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,phy therapist Physical Therapists Hospitals
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,"senior vice president director research service Chief Executives Professional, Scientific, and Technical Services"
1,nurse manager Clinical Nurse Specialists Administration of Human Resource Programs 
1,"associate project manager manager, All Other Professional, Scientific, and Technical Services"
1,sand blaster Construction Laborers Furniture and Related Product Manufacturing
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,one call scheduler Medical Secretaries Hospitals
1,clinic medical assistant Medical Assistants Administration of Human Resource Programs 
1,medical surg registered nurse Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
2,"sales account specialist Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Furniture and Related Product Manufacturing"
1,sonographer Diagnostic Medical Sonographers Administration of Human Resource Programs 
1,"operations director General and Operations manager Professional, Scientific, and Technical Services"
1,"director Chief Executives Professional, Scientific, and Technical Services"
1,medicine technologist prn Radiologic Technologists Hospitals
2,regional manager Sales manager Administrative and Support Services
2,"route sales supervisor First-Line Supervisors of Non-Retail Sales Workers Merchant Wholesalers, Nondurable Goods "
1,registered nurse Registered Nurse Administration of Human Resource Programs 
2,inside channel account manager Sales manager Administrative and Support Services
1,licensed practical nurse Licensed Practical and Licensed Vocational Nurse Ambulatory Health Care Services
1,"school radiologic technician driver str trail Radiologic Technicians Merchant Wholesalers, Nondurable Goods "
1,registered nurse medical surg Registered Nurse Hospitals
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,registered nurse wound care Registered Nurse Administration of Human Resource Programs 
2,"can national'l key account manager Sales manager Merchant Wholesalers, Nondurable Goods "
1,managing director General and Operations manager Administrative and Support Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,radiology technician Radiologic Technicians Administration of Human Resource Programs 
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
2,supervisor direct sales First-Line Supervisors of Non-Retail Sales Workers Broadcasting (except Internet)
3,senior manager video product management Marketing manager Broadcasting (except Internet)
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,team leader First-Line Supervisors of Office and Administrative Support Workers Furniture and Related Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,registered nurse Registered Nurse Administration of Human Resource Programs 
1,"analyst Management Analysts Professional, Scientific, and Technical Services"
2,"sales Retail Salespersons Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,utility Customer Service Representatives Furniture and Related Product Manufacturing
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
1,packing operator Packaging and Filling Machine Operators and Tenders Beverage and Tobacco Product Manufacturing
1,"director Chief Executives Professional, Scientific, and Technical Services"
1,office manager First-Line Supervisors of Office and Administrative Support Workers Administration of Human Resource Programs 
2,senior key account manager Sales manager Beverage and Tobacco Product Manufacturing
1,mnt technician ii flex electrical Electrical Engineering Technicians Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"business analyst Management Analysts Professional, Scientific, and Technical Services"
1,managing partner executive cr General and Operations manager Administrative and Support Services
1,"yard driver cooler Industrial Truck and Tractor Operators Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"wet painter Painters, Construction and Maintenance Furniture and Related Product Manufacturing"
1,system technician ii Network and Computer Systems Administrators Broadcasting (except Internet)
1,"case dock laborer Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,senior director Chief Executives Administrative and Support Services
1,"advanced broadband installer Telecommunications Equipment Installers and Repairers, Except Line Installers Broadcasting (except Internet)"
1,charge nurse Registered Nurse Administration of Human Resource Programs 
1,registered nurse Registered Nurse Ambulatory Health Care Services
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,manager program manager spmo Computer and Information Systems manager Broadcasting (except Internet)
1,production supervisor First-Line Supervisors of Production and Operating Workers Furniture and Related Product Manufacturing
1,certified nursing assistant Nursing Assistants Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"associate Retail Salespersons Professional, Scientific, and Technical Services"
1,registered nurse special program Registered Nurse Administration of Human Resource Programs 
3,business development manager Marketing manager Furniture and Related Product Manufacturing
3,"hp business manager Marketing manager Professional, Scientific, and Technical Services"
1,product fill operator Packaging and Filling Machine Operators and Tenders Beverage and Tobacco Product Manufacturing
2,"can outside sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
1,"project coordinator manager, All Other Religious, Grantmaking, Civic, Professional, and Similar Organizations"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,business analyst product management Market Research Analysts and Marketing Specialists Broadcasting (except Internet)
1,certified nursing assistant Nursing Assistants Administration of Human Resource Programs 
1,bulk manager Transportation manager Food and Beverage Stores 
1,"case dock laborer Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
2,"senior associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,clinic ancillary lab xray Radiologic Technologists Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,pharmacy technician Pharmacy Technicians Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,respiratory therapist registered respiratory therapist Respiratory Therapists Hospitals
1,"warehouse worker Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"vice president local activation Chief Executives Professional, Scientific, and Technical Services"
1,certified nursing assistant Nursing Assistants Hospitals
1,"director strategy General and Operations manager Professional, Scientific, and Technical Services"
1,"warehouse worker Laborers and Freight, Stock, and Material Movers, Hand Merchant Wholesalers, Nondurable Goods "
1,registered nurse speciality Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,charge nurse specialty Registered Nurse Administration of Human Resource Programs 
1,"operations supervisor First-Line Supervisors of Production and Operating Workers Professional, Scientific, and Technical Services"
1,staff registered nurse prn Registered Nurse Administration of Human Resource Programs 
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,art director Art Directors Administrative and Support Services
1,registered nurse surgery Registered Nurse Hospitals
2,"route sales supervisor First-Line Supervisors of Non-Retail Sales Workers Merchant Wholesalers, Nondurable Goods "
1,phlebotomist Phlebotomists Administration of Human Resource Programs 
1,clinic mid level np physician assistant midwi Physician Assistants Administration of Human Resource Programs 
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,"packaging operator plant Packaging and Filling Machine Operators and Tenders Merchant Wholesalers, Nondurable Goods "
2,territory manager Sales manager Beverage and Tobacco Product Manufacturing
1,ct technician Radiologic Technicians Hospitals
1,"work cell operator Production Workers, All Other Furniture and Related Product Manufacturing"
1,nurse extender Registered Nurse Hospitals
1,senior vice president medical Chief Executives Administrative and Support Services
1,"analyst Management Analysts Professional, Scientific, and Technical Services"
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,"negotiator local activation Business Operations Specialists, All Other Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,clinic licensed practical nurse Licensed Practical and Licensed Vocational Nurse Administration of Human Resource Programs 
2,"territory sales representative Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products Merchant Wholesalers, Nondurable Goods "
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
2,"associate Retail Salespersons Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,"operations manager General and Operations manager Professional, Scientific, and Technical Services"
1,supervisor dispatch First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators Broadcasting (except Internet)
1,"broadcast producer Producers Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1,technical operations manager ii Industrial Production manager Broadcasting (except Internet)
1,ct technician Radiologic Technicians Hospitals
2,territory manager iii Sales manager Beverage and Tobacco Product Manufacturing
1,senior director program system management Computer and Information Systems manager Broadcasting (except Internet)
1,"senior utility operator cooler Cooling and Freezing Equipment Operators and Tenders Merchant Wholesalers, Nondurable Goods "
3,account manager trade marketing Marketing manager Beverage and Tobacco Product Manufacturing
1,"analyst Management Analysts Professional, Scientific, and Technical Services"
1,controller Treasurers and Controllers Furniture and Related Product Manufacturing
